Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification,ID
Afghanistan,Eastern Mediterranean,56016,143.9,122,0.31,21,2460,6.32,9,0.02,0,Clusters of cases,1
Albania,Europe,118017,4100.95,4437,154.18,543,2060,71.58,104,3.61,15,Clusters of cases,2
Algeria,Africa,115410,263.19,1028,2.34,145,3040,6.93,22,0.05,4,Community transmission,3
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases,4
Andorra,Europe,11289,14610.76,220,284.73,23,113,146.25,1,1.29,0,Community transmission,5
Angola,Africa,21407,65.13,299,0.91,27,521,1.59,6,0.02,0,Community transmission,6
Anguilla,Americas,21,139.98,3,20,0,0,0,0,0,0,Sporadic cases,7
Antigua and Barbuda,Americas,983,1003.79,121,123.56,20,27,27.57,5,5.11,0,Clusters of cases,8
Argentina,Americas,2201886,4871.88,39885,88.25,6164,53836,119.12,584,1.29,166,Community transmission,9
Armenia,Europe,179287,6050.36,4089,137.99,585,3277,110.59,45,1.52,12,Community transmission,10
Aruba,Americas,8421,7887.34,294,275.37,26,79,73.99,2,1.87,0,Community transmission,11
Australia,Western Pacific,29137,114.26,76,0.3,7,909,3.56,0,0,0,Clusters of cases,12
Austria,Europe,492581,5469.23,18796,208.7,1910,8691,96.5,130,1.44,22,Community transmission,13
Azerbaijan,Europe,240671,2373.67,3708,36.57,376,3286,32.41,39,0.38,4,Clusters of cases,14
Bahamas,Americas,8765,2228.9,123,31.28,0,186,47.3,1,0.25,0,Clusters of cases,15
Bahrain,Eastern Mediterranean,132369,7779.2,4569,268.52,686,487,28.62,13,0.76,2,Clusters of cases,16
Bangladesh,South-East Asia,560887,340.57,8800,5.34,1719,8597,5.22,108,0.07,26,Community transmission,17
Barbados,Americas,3442,1197.74,109,37.93,21,38,13.22,1,0.35,1,Community transmission,18
Belarus,Europe,303270,3209.44,6829,72.27,947,2103,22.26,56,0.59,8,Community transmission,19
